hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,492.0,348.75082200000014,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,187.2,103.0,422.0,547.5600000000001,0.0,0.0,0.0,0.0,0.0,447.0
1,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,278.34245999999973,199.985,0.0,21.887500000000003,67.52000000000004,0.0,0.0,0.0,0.0,0.0,0.0,447.0
2,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,221.20000000000005,118.43244200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
3,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,431.632442,510.7082700000013,0.0,0.0,303.84,0.0,0.0,0.0,0.0,0.0,0.0,447.0
4,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,0.0,52.502865000000384,422.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
5,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,221.20000000000005,121.80000000000001,289.3399999999999,36.83094799999941,32.8982,118.16000000000003,0.0,0.0,0.0,0.0,0.0,0.0,447.0
6,492.0,429.0,1138.8589130000003,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,208.4309479999994,103.0,422.0,466.43999999999994,0.0,0.0,0.0,0.0,0.0,447.0
7,492.0,650.0,1669.1502810000002,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
8,492.0,650.0,1760.3400220000003,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
9,492.0,650.0,1690.3783390000008,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
10,492.0,650.0,653.5928889999996,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
11,492.0,143.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,440.9897839999994,0.0,0.0,0.0,0.0,0.0,447.0
12,492.0,572.0,345.51798400000007,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
13,492.0,65.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,245.2534699999984,103.0,422.0,128.43999999999994,0.0,0.0,0.0,0.0,0.0,447.0
14,492.0,0.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,813.0012389999998,88.4,32.8982,422.0,209.56000000000006,0.0,0.0,0.0,0.0,0.0,447.0
15,492.0,429.0,726.1913850000001,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
16,492.0,650.0,1427.6776529999988,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
17,492.0,650.0,1801.0,882.7512400000014,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
18,492.0,650.0,1324.0326719999994,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
19,492.0,650.0,969.2554290000007,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
20,492.0,650.0,1233.841962999999,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
21,492.0,650.0,1229.2958819999985,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
22,492.0,221.0,0.0,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,315.49009600000136,0.0,0.0,0.0,0.0,0.0,447.0
23,492.0,650.0,150.52805699999954,0.0,0.0,1358.0,1712.0,984.0,2268.0,790.0,435.0,851.0,260.0,103.0,422.0,676.0,0.0,0.0,0.0,0.0,0.0,447.0
